USER0: ,<@!937855104940384346> welcome  get __**active**__ mf lol <:WhiteBlurryStars:1041419634383015936>
USER1: ,welc <@937855104940384346> <:black_scythe:1041418735786921994>
USER2: ,ew
USER2: ,<@1029518317163134986> don’t tell me ur edating
USER3: ,join my server y’all in my bio😚
USER4: ,who
USER2: ,kys
USER5: ,He/him she/her they/them ze/zir xey/xem
USER3: ,i tried   it never worked
USER5: ,WITH WHO?!?
USER2: ,try harder
USER3: ,tried
USER2: ,idfk  r y an edater
USER4: ,yea she e dating these ugly ass females
USER2: ,clearly not hard enough cuz ur still her
USER2: ,clearly not hard enough cuz ur still here
USER6: ,Muppet
USER3: ,right
USER7: ,<@606347807229739009>
USER7: ,Cock
USER7: ,Ussy
USER8: ,Bro dont be sad
USER6: ,He just tackled him
USER5: ,U LITERALLY JUST SAID-
USER6: ,Ffs
USER5: ,Omfg
USER4: ,If those are pronouns
USER6: ,Whales is useless
USER4: ,this world is fucked
USER8: ,Yeah
USER6: ,Nice one
USER9: ,BAEEE
USER6: ,Kick it out
USER5: ,YALL JUST JELOUS I CAN PULL BOTH GENDERS
USER10: ,<@520587171074408449>
USER6: ,Smart ads
USER10: ,ass ussy
USER4: ,No u can't
USER5: ,NO BITCHES
USER8: ,How?
USER4: ,You can only pull one gender that's the main reason you're lesbian rn
USER5: ,Bro-
USER4: ,now me?
USER8: ,HOW?
USER5: ,No I’ve pulled guys
USER10: ,whales
USER4: ,Cap
USER4: ,We all know y ur lesbian
USER4: ,Couldn't pull a single guy
USER5: ,WHY THEN?
USER5: ,NO
USER4: ,Anyways
USER5: ,BC IF I SAY IT I WILL GET TIMED OUT
USER4: ,My manager tends to act a lil fruity around me
USER4: ,He's a dude
USER4: ,And I got some 18 yr old female tryna get with me
USER4: ,Who pulling both genders again?
USER4: ,it's crazy
USER11: ,(**sienna (Fireballz4296)#7106**) Has arrived. Welcome...
USER4: ,I ain't even gay
USER5: ,THE REASON IM LESBIAN IS BECAUSE MEN HAVE NO RESPECT FOR ME
USER5: ,IM 15
USER12: ,Really 😲😯😮😮
USER4: ,lmao why would they
USER5: ,AND ALL MEN WANT IS SEX
USER0: ,<@!993188395037773934> welcome  get __**active**__ mf lol <:WhiteBlurryStars:1041419634383015936>
USER1: ,welc <@993188395037773934> <:black_scythe:1041418735786921994>
USER12: ,That's crazy
USER4: ,<@1029518317163134986> not rlly
USER5: ,Too far
USER8: ,Wtf?
USER13: ,uh.. hey
USER4: ,We want luv but we cant get that from females nowadays cus all u want is dick and pussy
USER5: ,Hi!
USER8: ,Hi
USER8: ,Whats up
USER4: ,But tell me lesbian why would they respect a 15 yr old
USER5: ,Sweetie  you should leave it isn’t safe here.
USER4: ,now u getting people to leave
USER13: ,uhm what?
USER8: ,She probatly not littel kid
USER13: ,bruh
USER5: ,WHY WOULD THEY RAPE ME HUH?
USER13: ,i- wtf
USER5: ,TELL ME WHY THAT?
USER4: ,I doubt they did
USER13: ,caps
USER4: ,You're too ugly
USER5: ,That’s it
USER12: ,Bro spitting
USER14: ,welcome
USER8: ,Bro os sigma
USER15: ,ok thanks
USER4: ,you shouldn't joke about rape ya know
USER13: ,whats going on
USER5: ,I’m actually leaving now because people have no fucking common respect
USER8: ,Bro is sigma
USER4: ,I used to know a bitch who claimed she got raped
USER16: ,hi
USER8: ,I have
USER5: ,AND I DID
USER4: ,<@1029518317163134986> oh it's you raine
USER13: ,heyy
USER5: ,I WAS
USER4: ,Nvm
USER8: ,Whats up hu
USER8: ,Whats up hi
USER5: ,YES IT IS
USER4: ,crazy
USER5: ,I really hope you learn respect.
USER8: ,Why you so angry?
